activity_year,lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co_applicant_credit_score_type,applicant_ethnicity_1,applicant_ethnicity_2,applicant_ethnicity_3,applicant_ethnicity_4,applicant_ethnicity_5,co_applicant_ethnicity_1,co_applicant_ethnicity_2,co_applicant_ethnicity_3,co_applicant_ethnicity_4,co_applicant_ethnicity_5,applicant_ethnicity_observed,co_applicant_ethnicity_observed,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,applicant_race_observed,co_applicant_race_observed,applicant_sex,co_applicant_sex,applicant_sex_observed,co_applicant_sex_observed,applicant_age,co_applicant_age,applicant_age_above_62,co_applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus_1,aus_2,aus_3,aus_4,aus_5,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,RVDPPPGHCGZ40J4VQ731,99999,CO,8083,8083969301,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,1,2,1,1,1,2,2,2,175000,69.71,7.125,0.364,2,5321.81,NA,3369.36,2281.36,20.1,360,NA,NA,2,2,2,2,255000,2,1,1,1,1,NA,44,48,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,1,,,,,10,,,,3265,28.48,82500,77,712,1323,44
2022,RVDPPPGHCGZ40J4VQ731,26420,TX,48201,48201454700,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,385000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,113,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,2,1,6,,,,,10,,,,6910,30.91,90800,152,2052,2187,36
2022,RVDPPPGHCGZ40J4VQ731,29180,LA,22055,22055001100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,2,2,2,1,1,2,2,2,225000,96.5,6.875,0.974,2,7698.28,NA,673.2,673.2,,360,NA,NA,2,2,2,2,235000,1,1,3,5,1,NA,91,38,3,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,25-34,35-44,No,No,2,1,3,,,,,10,,,,5812,87.56,74900,58,1009,2416,53
2022,RVDPPPGHCGZ40J4VQ731,41740,CA,6073,6073018903,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,2,2,1,1,2,2,2,535000,96.5,6.625,0.72,2,15592.2,NA,1014,,630.96,360,NA,NA,2,2,2,2,545000,1,1,3,5,1,NA,117,50%-60%,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,2,1,3,,,,,10,,,,5161,59.85,106900,59,905,1510,44
2022,RVDPPPGHCGZ40J4VQ731,99999,MN,27067,27067780400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,325000,73.41,6.5,-0.369,2,5428.93,NA,3077.9,,158.82,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,153,38,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,,,,,10,,,,3654,7.33,83600,129,1311,1674,41
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,6037,6037910504,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,445000,96.5,6.5,0.788,2,17782.4,NA,5293.2,4279.2,,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,99,50%-60%,9,2,1,11,,,,11,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,45-54,No,No,2,1,3,,,,,10,,,,4857,89.91,91100,54,635,1063,36
2022,RVDPPPGHCGZ40J4VQ731,23420,CA,6019,6019004301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,1,1,2,2,2,315000,80,6.375,-0.312,2,9708.23,NA,7125.28,1058.08,,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,162,46,9,3,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,>74,No,Yes,2,1,2,,,,,10,,,,4181,30.26,72900,222,1379,1712,32
2022,RVDPPPGHCGZ40J4VQ731,35380,LA,22089,22089062301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,1,1,2,2,2,335000,70.32,7.5,0.608,2,4708.18,NA,1088,,1600.14,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,85,43,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,,,,,10,,,,6345,32.23,81800,168,2071,2547,34
2022,RVDPPPGHCGZ40J4VQ731,12060,GA,13089,13089021217,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,445000,95,6.75,0.088,2,10461.55,NA,7347.6,,4150.85,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,285,20%-<30%,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,1,,,,,10,,,,2701,46.83,95700,142,650,788,51
2022,RVDPPPGHCGZ40J4VQ731,35614,NJ,34017,34017005200,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Joint,3,0,2,2,1,1,2,2,2,325000,85,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,375000,1,1,3,5,2,NA,107,>60%,9,3,1,,,,,1,,,,,1,1,5,,,,,5,,,,,1,1,2,1,1,1,55-64,55-64,No,No,2,1,3,,,,,1,,,,4815,86.19,99000,50,341,1062,66
2022,RVDPPPGHCGZ40J4VQ731,40484,NH,33015,33015003902,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,2,2,2,1,1,2,2,2,455000,96.49,7,1.069,2,11610.81,NA,1014,,18.04,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,135,43,1,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,3,,,,,10,,,,3341,10.66,122500,131,1078,1131,39
2022,RVDPPPGHCGZ40J4VQ731,99999,ID,16067,16067970400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,0,2,1,1,1,2,2,2,165000,95,5.875,-0.581,2,8012.1,NA,5597.08,4509.08,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,37,39,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,2,1,1,,,,,10,,,,4738,43.25,71600,78,1109,1805,58
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,6037,6037113323,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Joint,White,Joint,1,3,2,1,1,1,2,2,2,955000,86.36,6.875,0.235,2,21715.85,NA,14986.5,1833.5,100,360,NA,NA,2,2,2,2,1105000,1,1,3,5,1,NA,183,49,3,9,1,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,2,1,2,,,,,10,,,,3927,72.7,91100,93,396,549,44
2022,RVDPPPGHCGZ40J4VQ731,42340,GA,13051,13051010815,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,3,2,1,1,1,2,2,2,245000,80,6.999,0.238,2,6927.98,NA,4081.33,3018.16,,360,NA,NA,2,2,2,2,315000,1,1,3,5,1,NA,79,45,9,3,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,65-74,65-74,Yes,Yes,2,1,2,,,,,10,,,,3563,61.75,83400,80,728,940,17
2022,RVDPPPGHCGZ40J4VQ731,19740,CO,8001,8001008536,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,2,0,2,1,1,1,2,2,2,385000,90,5.625,-0.926,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,86,49,2,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,25-34,No,No,2,1,1,,,,,10,,,,4353,45,117800,121,1062,1163,14
2022,RVDPPPGHCGZ40J4VQ731,35154,NJ,34023,34023002701,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,1,1,2,2,2,375000,90,6.875,0.177,2,15404.02,NA,10796.5,,6958.31,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,113,30%-<36%,2,10,2,,,,,5,,,,,2,4,2,21,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,2,,,,,10,,,,5705,72.87,128300,73,733,877,45
2022,RVDPPPGHCGZ40J4VQ731,14454,MA,25023,25023526100,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,4,0,2,2,1,1,2,2,2,285000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,87,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,2,1,2,2,25-34,25-34,No,No,2,1,3,,,,,10,,,,7749,7.25,129500,94,2700,2877,39
2022,RVDPPPGHCGZ40J4VQ731,23104,TX,48439,48439111563,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,4,0,2,1,1,1,2,2,2,235000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,29,NA,9,9,2,,,,,2,,,,,2,2,2,26,,,,2,26,,,,2,2,1,2,2,2,35-44,35-44,No,No,2,1,6,,,,,10,,,,5127,86.11,92400,146,1190,1263,15
2022,RVDPPPGHCGZ40J4VQ731,14260,ID,16027,16027020905,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,2,0,2,1,32,1,2,2,1,155000,28.74,7.125,0.541,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,525000,1,3,3,5,1,NA,135,39,2,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,45-54,No,No,2,1,2,,,,,10,,,,4413,22.71,87000,89,1209,1296,24
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,6037,6037910707,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,0,2,2,1,1,2,2,2,485000,95,5.875,0.581,2,25576.94,NA,11934.66,2802.65,,360,NA,NA,2,2,2,2,495000,1,1,3,5,1,NA,128,43,9,2,1,,,,,1,,,,,2,2,5,,,,,6,,,,,2,2,1,1,2,2,35-44,35-44,No,No,2,1,3,,,,,10,,,,5968,85.62,91100,71,814,1071,26
2022,RVDPPPGHCGZ40J4VQ731,22744,FL,12011,12011050402,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,3,2,1,1,1,2,2,2,405000,90,6.5,-0.205,2,8221.52,NA,2817.65,2743.65,,360,NA,NA,2,2,2,2,455000,1,1,3,5,1,NA,109,44,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,2,1,1,,,,,10,,,,4569,50.76,82100,89,1248,1241,48
2022,RVDPPPGHCGZ40J4VQ731,35380,LA,22051,22051027817,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,3,2,1,1,1,2,2,2,205000,80,7.375,0.49,2,4316.32,NA,1768.27,2404.48,,360,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,69,44,1,9,2,,,,,2,,,,,2,2,2,26,,,,2,26,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,1,,,,,10,,,,5985,49.96,81800,120,1506,1840,36
2022,RVDPPPGHCGZ40J4VQ731,39300,MA,25005,25005631101,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,2,1,1,2,2,2,505000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,3,NA,133,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,3146,22.63,99600,94,1043,1397,48
2022,RVDPPPGHCGZ40J4VQ731,22420,MI,26049,26049010810,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,2,1,1,2,2,2,245000,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,77,>60%,9,1,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,45-54,55-64,No,No,2,1,3,,,,,1,,,,5269,45.91,71600,139,1537,1911,44
2022,RVDPPPGHCGZ40J4VQ731,16984,IL,17031,17031804603,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Joint,1,2,2,2,1,1,2,2,2,425000,83.31,7.625,1.506,2,11964.83,NA,416.98,,1577.43,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,179,38,2,9,2,,,,,2,,,,,2,2,2,21,,,,2,21,,,,2,2,2,1,2,2,35-44,35-44,No,No,2,1,3,,,,,10,,,,5651,58.64,105700,98,896,774,44
2022,RVDPPPGHCGZ40J4VQ731,46520,HI,15003,15003009804,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,75000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,20,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,2,1,6,,,,,10,,,,3660,90.79,113300,70,298,964,39
2022,RVDPPPGHCGZ40J4VQ731,39580,NC,37069,37069060502,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Joint,4,0,2,2,32,1,2,2,2,305000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,139,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,1,2,2,2,55-64,35-44,No,No,2,1,6,,,,,10,,,,9754,27.45,110100,97,2852,3582,20
2022,RVDPPPGHCGZ40J4VQ731,25980,GA,13179,13179010208,C,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,4,0,2,3,1,1,2,2,2,205000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,58,NA,9,9,1,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,6,,,,,10,,,,6453,74.51,60700,118,1259,2405,24
2022,RVDPPPGHCGZ40J4VQ731,37964,PA,42101,42101011400,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,4,0,2,1,1,1,2,2,2,155000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,64,NA,9,9,2,,,,,5,,,,,2,4,3,,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,2,1,1,,,,,10,,,,6320,97.77,75000,67,1553,2987,0
2022,RVDPPPGHCGZ40J4VQ731,31084,CA,6037,6037463900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,965000,90,7.625,1.034,2,21613.12,NA,16084.25,,8465.63,360,NA,NA,2,2,2,2,1075000,1,1,3,5,1,NA,460,40,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,6,5,2,4,55-64,9999,No,NA,2,1,1,,,,,10,,,,3418,41.34,91100,172,770,1132,65
2022,RVDPPPGHCGZ40J4VQ731,99999,NC,37039,37039930502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,1,1,2,1,1,1,2,2,1,235000,75,7.5,0.742,2,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,315000,1,3,3,5,1,NA,138,49,9,1,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,1,2,2,2,25-34,45-54,No,No,2,1,1,,,,,10,,,,3587,12.82,66900,103,1325,2312,26
2022,RVDPPPGHCGZ40J4VQ731,14500,CO,8013,8013013705,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,645000,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,60,2,2,2,2,NA,1,1,3,5,1,NA,275,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,2,1,6,,,,,10,,,,1923,10.82,125400,86,488,1252,66
2022,RVDPPPGHCGZ40J4VQ731,23420,CA,6019,6019005504,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,3,0,2,2,1,1,2,2,2,405000,96.5,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,415000,1,1,3,5,1,NA,150,36,2,10,2,,,,,5,,,,,2,4,2,23,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,2,1,3,,,,,2,,,,3496,52.77,72900,195,806,1014,21
2022,RVDPPPGHCGZ40J4VQ731,15804,NJ,34007,34007609206,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,2,2,2,1,1,2,2,2,335000,88,7,0.942,2,12434.66,NA,2286.63,2286.63,,360,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,84,50%-60%,2,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,2,1,3,,,,,10,,,,5008,64.4,112900,118,1304,1578,27
2022,RVDPPPGHCGZ40J4VQ731,15980,FL,12071,12071040206,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,1,1,2,2,2,425000,94.54,6.875,0.98,2,15331.05,NA,3715.4,3715.4,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,129,42,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,45-54,No,No,2,1,3,,,,,10,,,,3382,25.25,83200,118,668,772,14
2022,RVDPPPGHCGZ40J4VQ731,26420,TX,48201,48201454200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,1,2,1,1,1,2,2,2,195000,80,6.625,-0.187,2,6188.49,NA,3148.16,2060.16,,360,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,63,49,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,25-34,No,No,2,1,1,,,,,10,,,,3977,87.7,90800,94,949,1235,39
